target,attempt,generation,best_objective_so_far,scipy_convergence
0.55,4,37,0.07816351785026493,5.935130627634908e-06
0.55,4,38,0.07816351785026493,5.958025806635834e-06
0.55,4,39,0.07816351785026493,7.200179987559056e-06
0.55,4,40,0.07816351785026493,7.154420251561321e-06
0.55,4,41,0.07816351785026493,7.285835455411901e-06
0.55,4,42,0.07816351785026493,7.956633021982637e-06
0.55,4,43,0.07816351785026493,8.3331986059355e-06
0.55,4,44,0.07816351785026493,1.0069642347480919e-05
0.55,4,45,0.07815678587652833,1.8136868711490235e-05
0.55,4,46,0.07815678587652833,2.583285312837486e-05
0.55,4,47,0.07815678587652833,2.6692692358326315e-05
0.55,4,48,0.07812892234747178,2.8048957125906285e-05
0.55,4,49,0.07812892234747178,3.553818065894351e-05
0.55,4,50,0.07812892234747178,4.345102259506017e-05
0.55,4,51,0.07812892234747178,4.6926145745303824e-05
0.55,4,52,0.07810853167743599,4.667264268423257e-05
0.55,4,53,0.07810853167743599,6.079304664294345e-05
0.55,4,54,0.07810853167743599,6.788674666546473e-05
0.55,4,55,0.07810735666287019,6.902893757022888e-05
0.55,4,56,0.07810735666287019,6.899672875478005e-05
0.55,4,57,0.07810735666287019,7.158169790512988e-05
0.55,4,58,0.07809855739608261,7.73041902265281e-05
0.55,4,59,0.07809855739608261,8.301074347337472e-05
0.55,4,60,0.07809855739608261,8.277357916853639e-05
0.55,4,61,0.07809823647152803,9.984206365120984e-05
0.55,4,62,0.07809823647152803,0.00010425920559033061
0.55,4,63,0.07809823647152803,0.00010376969954628867
0.55,4,64,0.07809542834655646,0.00010233119019500155
0.55,4,65,0.07809096842426902,0.00010505901201060698
0.55,4,66,0.07809096842426902,0.00011774443879456897
0.55,4,67,0.07809096842426902,0.00012154831474030456
0.55,4,68,0.07809096842426902,0.0001351255812521869
0.55,4,69,0.07809096842426902,0.00014212865100177998
0.55,4,70,0.07809096842426902,0.0001465140556149568
0.55,4,71,0.07808977656598569,0.00014849675235194533
0.55,4,72,0.07808977656598569,0.0003011054564461857
0.55,4,73,0.07808977656598569,0.00029999586575931873
0.55,4,74,0.07808977656598569,0.00030203239662197423
0.55,4,75,0.07808977656598569,0.0003268867379243745
0.55,4,76,0.07808977656598569,0.00043439002056579895
0.55,4,77,0.07808977656598569,0.00045743000082820414
0.55,4,78,0.07808977656598569,0.0004996074554910633
0.55,4,79,0.07808962576673611,0.0005215299846815352
0.55,4,80,0.07808962576673611,0.0005320628139385298
0.55,4,81,0.07808962576673611,0.0005622893935554622
0.55,4,82,0.07808962576673611,0.0005669074951153804
0.55,4,83,0.07808962576673611,0.0010000595929539535
0.55,4,84,0.07808962576673611,0.0011007290806279546
0.55,4,85,0.07808962576673611,0.0011590649125703908
0.55,4,86,0.07808962576673611,0.0011595174305916067
0.55,4,87,0.07808962576673611,0.0012212144070433712
0.55,4,88,0.07808917498855697,0.001220791272169393
0.55,4,89,0.07808917498855697,0.0012159465591094925
0.55,4,90,0.07808917498855697,0.001225603798769315
0.55,4,91,0.07808917498855697,0.0012978810889134927
